0	 CONN	6	 1	 up
815000	 CONN	3	 2	 down
816000	 CONN	3	 2	 up
817000	 CONN	3	 2	 down
818000	 CONN	3	 2	 up
819000	 CONN	3	 2	 down
820000	 CONN	3	 2	 up
821000	 CONN	3	 2	 down
822000	 CONN	3	 2	 up
823000	 CONN	3	 2	 down
824000	 CONN	3	 2	 up
825000	 CONN	3	 2	 down
826000	 CONN	3	 2	 up
827000	 CONN	3	 2	 down
828000	 CONN	3	 2	 up
829000	 CONN	3	 2	 down
830000	 CONN	3	 2	 up
831000	 CONN	3	 2	 down
832000	 CONN	3	 2	 up
833000	 CONN	3	 2	 down
834000	 CONN	3	 2	 up
835000	 CONN	3	 2	 down
836000	 CONN	3	 2	 up
837000	 CONN	3	 2	 down
838000	 CONN	3	 2	 up
839000	 CONN	3	 2	 down
840000	 CONN	3	 2	 up
841000	 CONN	3	 2	 down
842000	 CONN	3	 2	 up
843000	 CONN	3	 2	 down
844000	 CONN	3	 2	 up
845000	 CONN	3	 2	 down
846000	 CONN	3	 2	 up
847000	 CONN	3	 2	 down
848000	 CONN	4	 2	 up
849000	 CONN	4	 2	 down
850000	 CONN	4	 2	 up
851000	 CONN	4	 2	 down
852000	 CONN	4	 2	 up
853000	 CONN	4	 2	 down
854000	 CONN	4	 2	 up
855000	 CONN	4	 2	 down
856000	 CONN	4	 2	 up
857000	 CONN	4	 2	 down
858000	 CONN	4	 2	 up
859000	 CONN	4	 2	 down
860000	 CONN	4	 2	 up
861000	 CONN	4	 2	 down
862000	 CONN	4	 2	 up
863000	 CONN	4	 2	 down
864000	 CONN	4	 2	 up
865000	 CONN	4	 2	 down
866000	 CONN	4	 2	 up
867000	 CONN	4	 2	 down
868000	 CONN	4	 2	 up
869000	 CONN	4	 2	 down
